case id,prom1_unstranded,prom1_stranded_first,prom1_stranded_second,prom1_tpm_unstrande,prom1_fpkm_unstranded,prom1_fpkm_uq_unstranded,prom2_unstranded,prom2_stranded_first,prom2_stranded_second,prom2_tpm_unstrande,prom2_fpkm_unstranded,prom2_fpkm_uq_unstranded
1fe19c6b-71d0-4b07-923b-74ea32210db0,731,386,345,5.0737,2.3583,3.006,792,379,415,6.7565,3.1404,4.003
931738a7-4b5b-46dc-b69f-72600862d8af,322,153,169,1.8598,0.5531,0.5408,11140,5506,5635,79.0823,23.5176,22.9964
6f25001a-f890-4fd0-a994-e62a9ea5c6f3,2873,1423,1450,30.6534,13.5071,15.9549,6819,3453,3367,89.4239,39.4038,46.5446
e9483296-cb91-497a-b955-39a3c3289dac,1035,547,488,6.9455,1.9118,1.8377,3487,1741,1747,28.761,7.9168,7.6099
8628f1b2-3763-4ba9-a375-083874bb18f2,1050,547,503,5.6937,1.8797,2.0585,23642,11688,11959,157.5728,52.0205,56.9673
15fc17cd-d073-4f81-a4a2-2db3cb9d7069,964,492,472,9.2237,2.7164,2.6004,8588,4256,4333,100.9969,29.7443,28.4738
13f5814c-1f99-4ffa-84a4-3bbd8979faae,39,20,19,0.2242,0.1019,0.1381,1511,781,730,10.6761,4.8545,6.5769
86b513ba-df09-485d-92d4-fb9e888f7350,1079,529,550,6.988,2.7157,3.5041,501,271,230,3.988,1.5498,1.9998
cbd87697-7708-4b69-9e50-9ee474feabe1,264,137,127,4.0589,1.1992,1.1583,80,45,36,1.5118,0.4466,0.4314
63a75e0b-9241-4f0e-9236-01a2e2c05b7e,2738,1395,1343,19.9495,8.9896,12.3333,2249,1161,1089,20.1409,9.0758,12.4516
062982f8-9f49-425a-99e9-008af5ed9040,13,8,6,0.1072,0.0412,0.0492,791,408,383,8.017,3.0818,3.6762
f58e49fc-9641-4b46-be4c-766445ec70a3,554,277,277,5.5267,1.7307,1.6383,4445,2257,2188,54.503,17.0678,16.1569
c9e58844-9d61-44a2-aee6-1760bc19711b,534,280,254,1.5841,0.5557,0.6874,12304,6291,6022,44.8623,15.7386,19.4667
ad2b1a0a-153f-483d-b228-5763eba3f6cc,1260,623,638,8.6763,2.562,2.607,14752,7471,7289,124.8545,36.8683,37.516
20cf00ea-d7da-42bb-bce7-f005f0b952eb,13,6,7,0.0741,0.0238,0.0266,24677,12279,12398,172.9733,55.618,62.0144
15556b28-c6bd-455a-87b6-4b7b3e33d0e4,1583,820,763,10.4984,3.8786,4.6648,1379,665,714,11.2408,4.1529,4.9946
774ce281-96b2-467a-9170-079797ee10f7,3430,1725,1706,12.3842,5.4003,8.0897,39074,19744,19341,173.4014,75.6137,113.2706
f34aa3b6-e966-49c6-bc55-130545772c53,2825,1378,1447,19.3782,7.1315,8.0691,13550,6809,6746,114.2417,42.043,47.5703
93095c36-2263-438f-a619-a4a4d6ae13c7,83,42,41,1.1263,0.5622,0.5944,5601,2901,2700,93.4223,46.6291,49.3038
ea605be2-6578-4e01-8ec3-bbd84c0b7f1d,27,15,13,0.1541,0.0673,0.0807,2451,1239,1213,17.1905,7.5121,9.0073
7413c891-f74e-456f-bc70-69c83fb53c70,9416,4668,4749,51.5089,18.6814,20.6542,15103,7601,7505,101.5475,36.8296,40.7189
533f5ff9-466c-4cdb-9c46-b841c2626775,52,33,19,0.3049,0.1038,0.1169,213,112,101,1.5351,0.5226,0.5884
21f6bf91-dfc6-4a59-8b76-88a0f95c7b47,1605,829,776,20.8636,6.513,7.1452,9538,4690,4854,152.3916,47.5725,52.1899
