ID,PROM1,PROM2
GSM795030,-7.8059473,-1.5404716
GSM795031,-8.344372,-2.888402
GSM795032,-4.8177576,-3.6430578
GSM795033,-3.6083589,-4.0117826
GSM795034,-5.4554176,0.31991005
GSM795035,-7.9137173,-2.590507
GSM795036,-5.7935543,-3.3062696
GSM795037,-4.439682,-0.8115072
GSM795038,-3.407578,-1.9192462
GSM795039,-5.797638,0.9250078
GSM795040,-8.034241,-0.5306454
GSM795041,0.23631477,-1.7636442
GSM795042,-5.0627184,-0.8493881
GSM795043,-7.877417,0.118276596
GSM795044,-6.137499,-4.0925703
GSM795045,-7.9531345,-1.1611137
GSM795046,-6.735325,-3.9327126
GSM795047,-4.018711,-3.5247946
GSM795048,-5.4580755,-2.244781
GSM795049,-2.8042068,-2.3366342
GSM795050,-2.248918,0.14319992
GSM795051,-4.9418216,-3.868319
GSM795052,-0.74464035,0.14701843
GSM795053,-6.802584,0.07023525
GSM795054,-2.5081024,-1.2610884
GSM795055,-6.332494,-1.3004789
GSM795056,-6.631364,-2.3989463
GSM795057,-4.5201206,-1.592063
GSM795058,-3.1763296,-1.3548875
GSM795059,-3.4122405,-3.156035
GSM795060,-2.5661926,-0.80906296
GSM795061,-4.4561443,-0.20835304
GSM795062,-1.2653437,-3.144886
GSM795063,-5.3565617,-2.145804
GSM795064,-1.5451307,-4.8011804
GSM795065,-2.4015617,0.9058695
GSM795066,-4.410893,-1.5766172
GSM795067,-2.4972734,-1.3692613
GSM795068,-7.401598,-1.3020201
GSM795069,-3.29072,-0.3840208
GSM795070,-7.8640814,-1.7434359
GSM795071,-2.5281973,-0.89383984
GSM795072,-0.23802757,-2.2936468
GSM795073,-7.416596,-6.9335985
GSM795074,0.6638584,-0.6352482
GSM795075,-4.1398525,0.30210114
GSM795076,-6.5208726,-2.0321035
GSM795077,-0.42535305,-2.3157473
GSM795078,-5.2070174,-3.5857248
GSM795079,-4.4051337,-2.7262015
GSM795080,-2.9518967,-1.8825841
GSM795081,-5.6797323,-1.184977
GSM795082,-4.631639,0.8976526
GSM795083,-3.0813723,-1.7641592
GSM795084,-7.76981,-5.3074837
GSM795085,-6.4420547,-3.011541
GSM795086,-7.323838,1.4410963
GSM795087,-6.9440584,-5.083756
GSM795088,-2.8646436,-1.4221425
GSM795089,-1.3250008,-2.9851804
GSM795090,-0.19551754,0.40044594
GSM795091,-0.1239872,-0.3029728
GSM795092,-3.338069,-0.05574894
GSM795093,-6.601328,-1.1161718
GSM795094,-4.6514072,0.4411726
GSM795095,1.0610952,-0.6482763
GSM795096,-2.3562036,-1.8425899
GSM795097,-7.3062615,-3.7724185
GSM795098,-4.2188425,-1.0334234
GSM795099,0.9614496,0.846982
GSM795100,0.39708042,0.37398148
GSM795101,-1.3586359,-0.65480375
GSM795102,-8.143823,-0.5234337
GSM795103,-6.5640345,0.043646812
GSM795104,0.45109177,-1.0009022
GSM795105,-0.29268646,-2.2074442
GSM795106,3.2979174,1.42097
GSM795107,-5.6467485,-3.7416635
GSM795108,-3.3648987,-3.0663457
GSM795109,-7.5626354,-1.9231324
GSM795110,-0.012022018,-0.93564224
GSM795111,-1.8788567,-2.4613714
GSM795112,-5.781972,-2.883573
GSM795113,-5.395526,-0.53983116
GSM795114,-2.7054052,-4.3616943
GSM795115,-0.9017992,-1.9701204
GSM795116,-2.0976954,-1.826899
GSM795117,-1.0259228,-0.8015318
GSM795118,-0.1691103,-0.6734123
GSM795119,-3.23417,-1.6315403
GSM795120,-8.003025,0.14870644
GSM795121,-4.2953496,-1.6061182
GSM795122,-3.5501084,-4.6295958
GSM795123,-3.1891341,-5.0441856
GSM795124,-4.9132514,-1.4750075
